"com"	"gener"	"COUNT"
92054	"95."	10
92087	"95."	11
92094	"95."	176
92097	"95."	1
92101	"95."	16
92114	"95."	10
92137	"95."	28
92138	"95."	7
92140	"95."	13
92141	"95."	9
92142	"95."	32
93010	"95."	2
93014	"95."	17
93018	"95."	6
93022	"95."	16
93056	"95."	6
93088	"95."	12
93090	"95."	9
